CreatedAtUTC,Stem,SnapshotPath,ContentHash,Rows,FirstDT,LastDT,Source
2026-07-31T16:34:15.123121+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260731_163415_101e150a9f.csv,101e150a9fc4460fc863e7050993fbfd3be1cb2b04e6b2d2918870f317485fd4,19,,,rolling_origin_replay
2026-07-31T16:34:15.205197+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260731_163415_5572596cb9.csv,5572596cb9ce58296e48a4acce36b3698d1ccef57d250a1a99b47a2563e255a4,418,,,rolling_origin_replay
2026-07-31T16:34:15.440918+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260731_163415_ef61f4502a.csv,ef61f4502aa4a870e81f5b8ced924f5fde17df940786f481e6bcebc155fa659c,9,,,rolling_origin_replay
2026-07-31T16:34:16.464372+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260731_163415_dc66be233a.csv,dc66be233a86fd7b59363c7d470a8e6fc5b12188c3bfd489f48e6260e2a59027,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-31T18:41:11.122192+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260731_184109_c41e88ba4e.csv,c41e88ba4eb9dcbf409285ee0187632bba7f3ad9c7e69703a95c2fabb6b9280e,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-07-31T18:41:11.146791+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260731_184111_08c00a64f1.csv,08c00a64f1bff18dfaff4f97191af8e33d0bba23cb735902c1f9a12dae65cdbc,19,,,rolling_origin_replay
2026-07-31T18:41:11.182847+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260731_184111_e392a445c8.csv,e392a445c82ad97838c6c126ff98169ea720d09d8edb3ee21e05107d315ee092,418,,,rolling_origin_replay
2026-07-31T18:41:11.197328+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260731_184111_3feb2fef19.csv,3feb2fef1911bb948633788310f2571b01a66495cd1df580a7c1437348cf2292,9,,,rolling_origin_replay
2026-07-31T18:41:11.294654+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260731_184111_c7cd1dcd2c.csv,c7cd1dcd2c1aecef7e327c5a66a015d7aff37676edb7dbad7a26c09b267214db,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-31T23:21:55.865503+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260731_232153_8024c78b52.csv,8024c78b5224274e421f287120f3379473fcd9757f2e61e81377b5701aa7989b,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
