Model,Feature,Importance,Importance_Pct
catboost,Hot_Humid_Stress,0.9734200647487632,0.9734200647487633
catboost,MWH_Rolling6,0.9573879497623868,0.957387949762387
catboost,HourSin,0.726113595254449,0.7261135952544491
catboost,ClearSky_Index,0.657502354980657,0.6575023549806571
catboost,ClearSky_GHI_Proxy_Wm2,0.645167757199768,0.6451677571997682
catboost,MWH_Rolling24Std,0.6140070961952531,0.6140070961952532
catboost,Extreme_Heat_100,0.5411401879207055,0.5411401879207056
catboost,MWH_Rolling24,0.5408464234493588,0.540846423449359
catboost,Hour,0.5276405562472878,0.5276405562472879
catboost,Extreme_Heat_95,0.5039236813810541,0.5039236813810543
catboost,MWH_Lag2,0.4746690523730941,0.4746690523730942
catboost,MWH_Rolling48,0.43939970362169584,0.43939970362169595
catboost,BTM_Solar_Cloud_Adjusted_MW,0.404969353286209,0.40496935328620903
catboost,IsOffPeak,0.4037638069894948,0.4037638069894949
catboost,Temperature,0.31481010616431293,0.314810106164313
catboost,BTM_Solar_Proxy_MW,0.2951778866912673,0.2951778866912674
catboost,BTM_x_GHI,0.28775476086207075,0.2877547608620708
catboost,MWH_Lag3,0.25871333014475956,0.25871333014475956
catboost,DailyMaxTempBin,0.21354616283541314,0.21354616283541317
catboost,Temperature_DailyMax,0.2073276767239996,0.2073276767239996
catboost,Solar_Ramp_Down_2hr,0.20689350044079924,0.20689350044079927
catboost,Extreme_Heat_90,0.20436318724978048,0.2043631872497805
catboost,DayOfYearCos,0.19445495123306764,0.19445495123306766
catboost,Solar_Season_Factor,0.15990041848740558,0.1599004184874056
catboost,Temperature_DailyMin,0.1597287323067519,0.15972873230675194
catboost,Daily_BTM_ClearSky_Max_MW,0.14263488580367942,0.14263488580367945
catboost,Daily_BTM_Solar_Proxy_Total_MWh,0.14150527262803878,0.1415052726280388
catboost,WindSpeed_Mph,0.14080769171730487,0.1408076917173049
catboost,Solar_Evening_Ramp_Flag,0.1333748744738122,0.13337487447381222
catboost,Solar_Ramp_Down_1hr,0.12274088793708725,0.12274088793708728
catboost,Daily_BTM_Solar_Proxy_Max_MW,0.11497949045603655,0.11497949045603656
catboost,Daily_BTM_Solar_Loss_Max_MW,0.10719641283110923,0.10719641283110923
catboost,MWH_Rolling168,0.1065847099894455,0.10658470998944551
catboost,BTM_Evening_Ramp_Impact,0.10178093710251741,0.10178093710251743
catboost,IsWeekend,0.09611258808404959,0.0961125880840496
catboost,Daily_BTM_Solar_Loss_MWh,0.09434462249972039,0.0943446224997204
catboost,Temperature_DailyMean,0.0932649115425917,0.09326491154259171
catboost,DOWSin,0.08934336269567367,0.08934336269567368
catboost,Nameplate_MW,0.08422230252833966,0.08422230252833968
catboost,MWH_Lag72,0.0824461759054785,0.08244617590547851
catboost,Solar_Ramp_Up_1hr,0.07730334484835646,0.07730334484835648
catboost,Wind_x_Temp,0.0700383241112876,0.07003832411128762
catboost,DayOfYearSin,0.06836622140391191,0.06836622140391191
catboost,DailyMax_x_PeakHour,0.06667515883448125,0.06667515883448126
catboost,DOW,0.06614112457140939,0.0661411245714094
catboost,Daily_CDD,0.06499984063088168,0.0649998406308817
catboost,CloudCover_Norm,0.061253289430102095,0.06125328943010211
catboost,Cooling_Stress,0.06077904542402762,0.060779045424027636
catboost,IsOnPeak,0.06069111841730519,0.060691118417305207
catboost,IsBusinessDay,0.059982391911013705,0.05998239191101372
catboost,Capacity_Ratio_To_Current,0.058678692108029895,0.0586786921080299
