DT,Month,Season,Hour,Actual_MWH,Final_Backtest_Forecast_MWH,Final_Residual_MWH,Final_AbsError_MWH,Overforecast_MWH,Raw_Forecast_MWH,XGB_Pred_MWH,LGB_Pred_MWH,CatBoost_Pred_MWH,Temperature,Temperature_DailyMax,TempBucket,CloudCover_Norm,CloudBucket,BTM_Solar_Proxy_MW,BTM_Solar_Loss_From_ClearSky_MW,Midday_Overcast_Solar_Loss_MW,Stage_Selector_Source,Stage_Selector_Reason,Recent_Correction_Source,Pre_Focused_Guard_Forecast_MWH,Focused_Scorecard_Guard_MWH,Focused_Scorecard_Guard_Source
2026-05-22 15:00:00-07:00,5,Spring,15,211.14735,220.0267536412446,-8.879403641244608,8.879403641244608,8.879403641244608,226.3872458408776,228.66354370117188,227.55431734839524,223.90290551183728,90.5,91.6,90-95,0.01,clear<=0.2,15.720719800470636,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,218.0267536412446,2.0,shoulder_heat_days2to7_bias_up
2026-06-01 17:00:00-07:00,6,Summer,17,237.518291,246.23977704400136,-8.72148604400138,8.72148604400138,8.72148604400138,247.88228020675396,246.1246032714844,247.03971504144803,249.7085045908829,92.4,92.5,90-95,0.0,clear<=0.2,4.289141684909547,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,246.23977704400136,0.0,none
2026-06-29 14:00:00-07:00,6,Summer,14,183.458,192.17604586878895,-8.718045868788977,8.718045868788977,8.718045868788977,203.4954884827073,202.70196533203125,202.8401564406321,204.75201687759,87.7,90.2,90-95,0.2,clear<=0.2,20.526336961004603,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,192.17604586878895,0.0,none
2026-06-30 14:00:00-07:00,6,Summer,14,203.63,212.3390657648388,-8.709065764838812,8.709065764838812,8.709065764838812,225.37154563622587,228.81326293945312,227.03382244070144,221.77604857112792,90.4,93.39701045877466,90-95,0.0,clear<=0.2,20.58891725661742,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,212.3390657648388,0.0,none
2026-06-24 18:00:00-07:00,6,Summer,18,247.509,256.21551355099814,-8.706513550998153,8.706513550998153,8.706513550998153,261.40742186738976,262.1444702148437,260.4692048257341,262.6711776907189,91.8,93.8,90-95,0.0,clear<=0.2,1.533910143053384e-15,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,256.21551355099814,0.0,none
2026-06-10 17:00:00-07:00,6,Summer,17,252.155283,260.81846322249874,-8.663180222498738,8.663180222498738,8.663180222498738,267.2700060304191,268.4358825683594,267.4334447669646,266.6800661478645,96.3,98.2,95-100,0.0,clear<=0.2,4.276673249778995,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,260.81846322249874,0.0,none
2026-06-25 20:00:00-07:00,6,Summer,20,206.147,214.7318561957753,-8.584856195775302,8.584856195775302,8.584856195775302,220.28879315940017,220.57073974609372,220.4191885540057,220.0033299431076,80.7,90.3,90-95,0.88,overcast>0.85,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+solar_hourgroup+solar_loss_hourgroup,214.7318561957753,0.0,none
2026-05-22 19:00:00-07:00,5,Spring,19,224.437116,233.00815293221652,-8.571036932216543,8.571036932216543,8.571036932216543,236.26043586701547,237.2532958984375,235.9825250964988,236.41347849742112,85.9,91.6,90-95,0.0,clear<=0.2,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,231.00815293221652,2.0,shoulder_heat_days2to7_bias_up
2026-05-31 16:00:00-07:00,5,Spring,16,179.411933,187.9703372287293,-8.558404228729302,8.558404228729302,8.558404228729302,180.6957620945545,182.1258087158203,179.92649110355376,181.4960317600512,86.7,87.4,80-90,0.0,clear<=0.2,10.092522978035635,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup,178.7203372287293,9.25,shoulder_heat_days8to16_bias_up+may_long_85_93_hot_peak_recovery_up
2026-06-10 11:00:00-07:00,6,Summer,11,151.332441,159.87105259136123,-8.538611591361246,8.538611591361246,8.538611591361246,172.87898444103826,173.1938018798828,173.9803564590181,171.0583091445429,83.6,98.2,95-100,0.45,mixed0.2-0.6,19.03192885982004,3.3715018777708643,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup,159.87105259136123,0.0,none
2026-05-24 22:00:00-07:00,5,Spring,22,144.513041,152.964933999932,-8.451892999932028,8.451892999932028,8.451892999932028,151.8177105584855,151.79095458984375,151.3602658963457,152.54419673288848,65.6,84.9,80-90,0.11,clear<=0.2,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,151.714933999932,1.25,shoulder_heat_days8to16_bias_up
2026-06-23 19:00:00-07:00,6,Summer,19,251.222,259.6282523673519,-8.406252367351868,8.406252367351868,8.406252367351868,261.53436775176,261.33770751953125,259.8090312548418,264.3017994561252,91.6,95.0,90-95,0.0,clear<=0.2,0.0,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,259.6282523673519,0.0,none
2026-06-09 13:00:00-07:00,6,Summer,13,150.664,159.05588026443897,-8.391880264438981,8.391880264438981,8.391880264438981,170.8113768171047,172.24716186523438,171.20744378850222,169.7787615625858,82.0,84.8,80-90,0.85,cloudy0.6-0.85,21.312037696326595,1.0780962562040737,1.0780962562040737,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,159.05588026443897,0.0,none
2026-05-21 17:00:00-07:00,5,Spring,17,252.08895,260.4789570070191,-8.390007007019108,8.390007007019108,8.390007007019108,264.8506793991798,264.5399475097656,264.86593392733886,264.9154885376196,94.2,94.2,90-95,0.0,clear<=0.2,4.095880940386006,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,260.4789570070191,0.0,none
2026-06-11 13:00:00-07:00,6,Summer,13,220.518708,228.9023378298852,-8.383629829885166,8.383629829885166,8.383629829885166,240.87085229382237,240.68704223632807,243.4328081458456,236.89743882849848,94.6,100.1,100-105,0.0,clear<=0.2,23.057018948755083,0.0,0.0,Final_Backtest_Forecast_MWH,default_final,recent_mean+last24_mean+same_hour+hourgroup+global+temp_hourgroup+cloud_hourgroup+solar_hourgroup+solar_loss_hourgroup+temp_cloud_hourgroup,228.9023378298852,0.0,none
