ErrorType,Rank,IntervalStartDT,HE,Actual_MW,Forecast_MW,BaseForecast_MW,ActualReadCount,Error_MW,AbsError_MW,Underforecast_MW,Overforecast_MW,WeatherGHI_Wm2,GHI_kWh_per_m2,ClearSkyGHI_Wm2,ClearSkyIndex,CloudCoverPct,CloudCoverLowPct,CloudCoverMidPct,CloudCoverHighPct,PerformanceRatio,ResidualCalibrationFactor,SeasonalCalibrationFactor,RegimeCalibrationFactor,PeakCalibrationFactor,TotalCalibrationFactor,ActualQualityFlag,SolarBacktestExcluded,ActualToExpectedRatio,ActualQualityExpected_kWh,ActualQualitySuspiciousHour,ActualReadCoverageRatio,ForecastSource
Underforecast,24,2026-02-22 08:00:00,9,5.66917767,0.10246356620422807,0.06680419439706635,,-5.566714103795772,5.566714103795772,5.566714103795772,-5.566714103795772,1.0,0.001,200.71941838051558,0.004982079003956864,16.031737548675615,0.0,0.49363468107417363,15.538102867601442,1.0773569589933112,1.522714507080104,1.0050180479883204,1.0,1.0,1.5303555615491435,,,,,,,backtest_calibrated
Underforecast,25,2025-09-02 11:00:00,12,17.085829989999997,11.529331115512287,12.043240337409658,,-5.55649887448771,5.55649887448771,5.55649887448771,-5.55649887448771,378.8351704357845,0.3788351704357845,774.1107319486961,0.4893811115137617,52.006966323911776,0.0,0.0,52.006966323911776,0.5691440124371193,0.9904971508523641,0.9912208554464851,0.9749745088694678,1.0,0.9572313701270668,,,,,,,backtest_calibrated
Underforecast,26,2026-04-09 15:00:00,16,21.193600330000002,15.729268778927755,17.21452918641935,,-5.464331551072247,5.464331551072247,5.464331551072247,-5.464331551072247,676.9767150824731,0.676976715082473,760.0504465260328,0.8906997136528696,97.17075951056836,12.476237458020968,17.99003466010437,96.80828251647208,0.40308282804722184,0.8894069253599355,1.0089658152722663,1.0099894936859148,1.0,0.9063455672215643,,,,,,,backtest_calibrated
Underforecast,27,2026-02-23 11:00:00,12,22.078844120000003,16.769014194179093,16.139678460840834,,-5.30982992582091,5.30982992582091,5.30982992582091,-5.30982992582091,359.18226959115066,0.3591822695911507,619.660970579623,0.5796432027261231,100.0,0.0,83.25199112177462,100.0,0.6138309190024589,1.038821939666662,1.0050180479883204,0.9943115472291554,1.0,1.0380958553716242,,,,,,,backtest_calibrated
Underforecast,28,2025-09-24 14:00:00,15,18.746162339999998,13.436632797390228,14.2902378816341,,-5.30952954260977,5.30952954260977,5.30952954260977,-5.30952954260977,624.0155593057406,0.6240155593057407,751.8437755107005,0.8299803491514832,13.64889825583486,0.0,13.579005840884628,0.13115768697789199,0.3686321492266778,0.9485440564870349,0.9912208554464851,1.0,1.0,0.9402166510997578,,,,,,,backtest_calibrated
Underforecast,29,2026-01-15 09:00:00,10,7.154777,1.8471796651937011,1.2331845747092798,,-5.3075973348062995,5.3075973348062995,5.3075973348062995,-5.3075973348062995,9.547355666382316,0.009547355666382316,240.74779837501623,0.039657084014161015,75.92267043420738,75.92267043420738,0.0,0.0,1.0842278326866002,1.516014044811969,0.9961376920414934,1.0,1.0,1.510158731701484,,,,,,,backtest_calibrated
Underforecast,30,2025-11-02 08:00:00,9,6.386964,1.0958244680321276,0.7458554357790417,,-5.291139531967872,5.291139531967872,5.291139531967872,-5.291139531967872,5.493634681074174,0.0054936346810741735,241.92178172744897,0.022708309445502294,0.0,0.0,0.0,0.0,1.038701187678043,1.4744362649485017,1.0014685557041578,1.0,1.0,1.476601556735809,,,,,,,backtest_calibrated
Underforecast,31,2026-02-23 10:00:00,11,19.51414166,14.23346687864213,14.114532678878419,,-5.28067478135787,5.28067478135787,5.28067478135787,-5.28067478135787,251.54216931525016,0.25154216931525014,525.6769271281987,0.4785109567000373,99.93873472797235,0.0,26.59276481282433,99.93873472797235,0.6630940990987857,1.0343836904053756,1.0050180479883204,0.9702519450047149,1.0,1.0086012312001822,,,,,,,backtest_calibrated
Underforecast,32,2026-01-11 09:00:00,10,6.499366,1.2292414485414915,0.8944586684371567,,-5.270124551458508,5.270124551458508,5.270124551458508,-5.270124551458508,9.45061345186276,0.009450613451862759,234.89397312813037,0.04023352888116726,100.0,70.52064621749318,32.899082577488905,100.0,0.9912889644806192,1.3941145942832684,0.9961376920414934,1.0,1.0,1.388730094390698,,,,,,,backtest_calibrated
Underforecast,33,2026-04-12 13:00:00,14,18.57160266,13.307832707669132,14.05121108779515,,-5.263769952330868,5.263769952330868,5.263769952330868,-5.263769952330868,289.8751439150418,0.28987514391504177,884.9666814187082,0.3275548673203572,99.33569890758942,95.99139577308354,45.59110717965884,93.30400491982836,0.7637954949872946,0.9611334663367149,1.0089658152722663,0.9766860638944643,1.0,0.9471421029914955,,,,,,,backtest_calibrated
Underforecast,34,2026-03-01 12:00:00,13,16.163187,10.906444429464383,11.913260369685405,,-5.256742570535618,5.256742570535618,5.256742570535618,-5.256742570535618,284.96413575650195,0.284964135756502,691.0370279720137,0.41237173150154655,99.99999999999999,20.611078739207713,99.99999999999999,96.06197074750528,0.6560397659944281,0.9449187997250299,0.9919267716719791,0.9766860638944643,1.0,0.9154383293975765,,,,,,,backtest_calibrated
Underforecast,35,2026-02-23 12:00:00,13,25.243729480000002,20.009856580049874,19.836992904547827,,-5.2338728999501285,5.2338728999501285,5.2338728999501285,-5.2338728999501285,487.42004745837045,0.4874200474583705,659.2676717576876,0.7393355814927941,95.29633963407316,0.0,56.6596417778758,93.45130509572486,0.5603314934371679,1.0093695209867828,1.0050180479883204,0.9943115472291554,1.0,1.0086640224512844,,,,,,,backtest_calibrated
Underforecast,36,2026-01-13 09:00:00,10,7.1060360000000005,1.9089435732147368,1.248552205800132,,-5.197092426785264,5.197092426785264,5.197092426785264,-5.197092426785264,9.71290743964905,0.00971290743964905,237.58559809592774,0.04088171807336301,68.93542324680408,68.93542324680408,0.0,0.0,1.0842278326866002,1.5473030340170748,0.9961376920414934,1.0,1.0,1.541326873194569,,,,,,,backtest_calibrated
Underforecast,37,2025-11-03 08:00:00,9,5.89262,0.7822901344452805,0.5157104763114844,,-5.11032986555472,5.11032986555472,5.11032986555472,-5.11032986555472,5.0,0.005,237.5883289655082,0.021044804775431008,0.0,0.0,0.0,0.0,1.0038233758217188,1.5218959463732378,1.0014685557041578,1.0,1.0,1.524130935346419,,,,,,,backtest_calibrated
Underforecast,38,2026-02-20 08:00:00,9,5.071586999999999,0.0,0.0,,-5.071586999999999,5.071586999999999,5.071586999999999,-5.071586999999999,0.0,0.0,191.03473976211183,0.0,13.418482829807854,0.0,0.0,13.418482829807854,1.059681424835635,1.0,1.0,1.0,1.0,1.0,,,,,,,backtest_calibrated
Underforecast,39,2025-09-10 11:00:00,12,21.39097868,16.342566719647582,17.050509163851114,,-5.048411960352418,5.048411960352418,5.048411960352418,-5.048411960352418,524.752337385308,0.524752337385308,748.5236101505142,0.701049813618825,88.96590347481724,39.012117220686214,1.0086271429225722,83.03110036384247,0.5251006656731182,0.9720204016457431,0.9912208554464851,0.9943115472291554,1.0,0.958006144338708,,,,,,,backtest_calibrated
Underforecast,40,2026-03-27 16:00:00,17,11.924468,6.897496216324291,8.954419923306098,,-5.026971783675708,5.026971783675708,5.026971783675708,-5.026971783675708,446.62523830753764,0.44662523830753764,581.0381259483509,0.7686676972850465,100.0,0.0,0.0,100.0,0.3289890808081806,0.7700888327246727,0.9919267716719791,1.005827297114593,1.0,0.7682494392048054,,,,,,,backtest_calibrated
