Season,Month,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
Summer,6,16,6,195.18661483333332,181.96230006153112,13.224314771802204,13.224314771802204,6.788648502821556,100.0,19.230068779506936,19.705765623751063,0.0,14.133509525775342
Summer,8,1,9,162.77563055555555,149.6246600096226,13.150970545932946,13.150970545932946,8.188461927869824,100.0,19.47337000460294,19.508117719481163,0.0,14.02602505509757
Summer,8,11,9,192.88855185185184,181.6006068418015,11.287945010050363,12.958412306728254,6.534799757742312,88.88888888888889,21.183997853548302,27.385609162396605,7.517102835050508,14.542500295779053
Summer,8,2,9,148.3613222222222,136.44380602142584,11.917516200796387,11.917516200796387,8.109182551008283,100.0,15.792967494931942,16.661056888184817,0.0,12.39878410026018
Summer,7,0,31,157.15604432258064,145.36127704946293,11.79476727311773,11.885216536644485,7.613217290596569,96.7741935483871,16.317964328602102,22.51542449436309,1.4019635846647134,12.65239724899931
Summer,7,12,31,180.34091493548388,168.66248916873795,11.678425766745914,11.793451174267247,6.575030070104007,96.7741935483871,19.438975150146774,27.800501600318455,1.7828938165806676,13.665154069570747
Summer,7,7,31,128.83849864516128,117.23627201971206,11.602226625449228,11.602226625449228,9.098852325951542,100.0,16.488233030388187,18.819620020406234,0.0,12.225797263344212
Summer,7,8,31,136.3140865483871,125.15898658476739,11.155099963619703,11.155099963619703,8.298528709917564,100.0,16.994469617702464,19.05195041371951,0.0,11.949829412071756
Summer,6,15,6,179.00115649999998,168.10795148293414,10.893205017065867,10.893205017065867,6.125979500575024,100.0,15.65767956359737,17.51717226968404,0.0,11.822875119452503
Summer,7,6,31,122.4509235483871,111.61220372941933,10.838719818967764,10.838719818967764,8.88455993317518,100.0,15.062294795439215,19.206034547937506,0.0,11.5382038452737
Summer,7,5,31,120.80919783870968,110.05755730724307,10.751640531466595,10.751640531466595,8.890125245419693,100.0,14.73307780055174,20.919477202944023,0.0,11.522089357780109
Summer,8,10,9,175.52618796296298,165.1486476456245,10.37754031733847,10.590841768526092,5.898726810951407,88.88888888888889,16.50749032258903,25.259494454660654,0.9598565303442967,12.447453326089578
Summer,8,9,9,161.11743703703704,150.60079346060272,10.516643576434328,10.516643576434328,6.4450797898564405,100.0,13.93593604347118,22.03602502101637,0.0,11.42973759709317
Summer,7,1,31,141.66184987096773,131.36407820271955,10.297771668248194,10.387210309461102,7.378249015391278,96.7741935483871,14.820964145842737,22.128147888964122,1.3862989388000528,11.177277621565507
Summer,7,11,31,165.0913526451613,155.19928340429504,9.892069240866238,10.241624987715396,6.276864761843062,90.32258064516128,19.041796655657834,25.458686184797983,2.8829374070345466,11.926928695089321
Summer,7,9,31,144.35375767741937,134.18321307907786,10.170544598341515,10.170544598341515,7.164757921567879,100.0,15.903715212196488,20.479752846447752,0.0,11.285032000989121
Summer,7,10,31,154.16742467741935,144.34110340918818,9.826321268231148,9.98852070097626,6.598411679809441,90.32258064516128,17.933065752805334,21.80852178311295,1.5725534130532992,11.482301088198842
Summer,7,2,31,130.22061425806453,120.43366128576716,9.786952972297366,9.875890813735062,7.641066608679319,96.7741935483871,14.48571839014619,19.739364925366715,1.3785365422842801,10.608931765616783
Summer,8,3,9,137.54076481481482,127.80848457251483,9.73228024229998,9.73228024229998,7.152864364385266,100.0,13.019639138040919,14.374866310941627,0.0,10.272913632960073
Summer,8,6,9,133.7943324074074,124.37775219737495,9.416580210032455,9.44756998112846,6.945545794014824,88.88888888888889,13.032043533236077,16.857241960615823,0.13945396993202053,10.501370915855633
Summer,8,8,9,148.60455370370371,139.26179253395657,9.34276116974714,9.34276116974714,6.228625770347241,100.0,13.342886614834079,16.83929290064654,0.0,9.884235826551327
Summer,7,4,31,119.5860552580645,110.33353785024077,9.25251740782374,9.25251740782374,7.771381881885854,100.0,12.950825056391722,18.279304877473038,0.0,10.008307478405287
Summer,8,7,9,139.03953425925926,129.95335293666105,9.086181322598215,9.086181322598215,6.428466279913074,100.0,14.30080077834648,14.667798409908869,0.0,9.861200692707028
Summer,8,5,9,132.3570111111111,123.31676393744071,9.040247173670416,9.040247173670416,6.818859451675134,100.0,11.613851119027379,12.958528077780443,0.0,9.627328870434507
Summer,7,3,31,122.62151580645161,113.6573917048868,8.964124101564801,8.964124101564801,7.356196843451127,100.0,12.928174649543834,17.580818410534647,0.0,9.758441997857783
Summer,6,14,6,163.06607183333333,154.34179659143905,8.72427524189429,8.72427524189429,5.277452280983218,100.0,13.55356004700603,14.878988577544533,0.0,9.71967255628473
Summer,8,4,9,131.96807314814816,124.07895474852164,7.889118399626513,7.889118399626513,6.0381465564432215,100.0,10.611636409237812,10.855277826935591,0.0,8.4780252459903
Summer,6,13,6,149.03067333333334,142.66806964499676,6.362603688336567,7.173186875669036,4.638609832499478,83.33333333333334,12.149061438050765,14.512946860721911,2.4317495619974068,8.331019598394116
