combo,overall_mae,overall_bias,hot_mae,hot_bias,peak_mae,last45_mae,days47_mae,cloud_mae,shoulder_mae,all_pass,pass_like
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6|july_90_95_low_state_backoff-15,3.690934631362564,0.576002631528182,5.395153017375407,1.9209109451600772,5.083683216322682,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14|june_evening_combo_trim-8,3.6909681346229477,0.562330756528182,5.395751401188779,1.6767248986484493,5.077298013222194,2.8332822539136666,3.4643411744638666,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14|june_evening_combo_trim-6,3.6909681346229477,0.554518256528182,5.395751401188779,1.5371900149275193,5.084798013222194,2.8332822539136666,3.4643411744638666,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-12,3.6909813786489747,0.562330756528182,5.395987945653638,1.6767248986484493,5.064940624441908,2.8332822539136666,3.4711758520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-15,3.6909858155996593,0.5773047148615155,5.396067191656566,1.9441667591135656,5.060075827542397,2.8332822539136666,3.5024258520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-12,3.690986725790169,0.5696224231948487,5.396083448082409,1.8069574567879843,5.065929502083565,2.8332822539136666,3.4711758520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-15|sep_d4_7_cloudy_90_95_down-8,3.691039582923319,0.5733984648615154,5.397027501065175,1.8743993172531006,5.0686832163226825,2.8332822539136666,3.472217518701106,5.077323700920269,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-15,3.691039582923319,0.5707942981948487,5.397027501065175,1.8278876893461238,5.0686832163226825,2.8332822539136666,3.465967518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6|sep_d4_7_cloudy_90_95_down-10,3.691114304015591,0.5571224231948487,5.398362054527151,1.5837016428344959,5.084798013222194,2.8332822539136666,3.469092518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6,3.691136843754886,0.5636328398615154,5.398764624754569,1.6999807126019377,5.083690624441909,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-6|july_90_95_low_state_backoff-12,3.6911421908960804,0.570924506528182,5.3988601271833385,1.8302132707414727,5.0846795020835645,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-12,3.6911933751331767,0.5722265898615154,5.399774301464498,1.853469084694961,5.061072113303279,2.8332822539136666,3.5024258520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14|june_evening_combo_trim-6,3.691228551289614,0.558424506528182,5.400402563979476,1.6069574567879843,5.081048013222194,2.8332822539136666,3.4695495077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_90_95_down-8,3.691241795315641,0.5610286731948487,5.400639108444336,1.6534690846949611,5.068690624441908,2.8332822539136666,3.472217518701106,5.077323700920269,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-12,3.691241795315641,0.558424506528182,5.400639108444336,1.6069574567879843,5.068690624441908,2.8332822539136666,3.465967518701106,5.076010503284025,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-12|sep_d4_7_cloudy_90_95_down-8,3.691247142456836,0.5683203398615153,5.400734610873108,1.7837016428344958,5.069679502083565,2.8332822539136666,3.472217518701106,5.077323700920269,4.37010182312897,True,True
