Stage,ForecastColumn,Replay_Horizon_Bucket,Season,DailyMaxTempBucket,HourGroup,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
peak_risk_adjusted,Peak_Risk_Adjusted_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,185.17614669658286,-5.4459466965828485,5.4459466965828485,3.0394565102698197,0.0,6.611024516075434,-3.8728849504830976,7.308033077677663,5.557708965009278
peak_risk_adjusted,Peak_Risk_Adjusted_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.55579677517684,-4.791296775176846,4.791296775176846,3.3575188822624,0.0,4.957624802814638,-4.5833867406296065,4.999206809724086,4.795805601803046
recent_corrected_simulation,Recent_Corrected_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,153.11231335229795,-8.395563352297955,8.395563352297955,5.891305484438369,0.0,9.13462581433026,-7.108364533715331,9.19682741838875,8.435123743207287
recent_corrected_simulation,Recent_Corrected_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,185.64921455626873,-5.919014556268718,5.919014556268718,3.3031757207085635,0.0,7.073338905449219,-4.376324323298235,7.747160024804572,6.018822307061748
recent_corrected_simulation,Recent_Corrected_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,149.04105176533537,-5.27655176533537,5.27655176533537,3.695980300341086,0.0,5.432689019960611,-5.081380197053818,5.4717233336169215,5.280160080274961
stage_selected_production,Stage_Selected_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,150.77413207630718,-6.057382076307185,6.057382076307185,4.242629264605414,0.0,6.99934304842497,-4.966913879167208,7.333607327626112,6.118263079200735
stage_selected_production,Stage_Selected_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.48199202766006,-4.717492027660072,4.717492027660072,3.3191733110587682,0.0,5.109691251545215,-4.227242997803643,5.2077410575165,4.74289733626098
stage_selected_production,Stage_Selected_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,183.9055739386411,-4.175373938641121,4.175373938641121,2.3311365570460163,0.0,4.864662404644212,-3.3469691325547615,5.265708925590701,4.224922152761745
final_corrected_production,Final_Backtest_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,150.77413207630718,-6.057382076307185,6.057382076307185,4.242629264605414,0.0,6.99934304842497,-4.966913879167208,7.333607327626112,6.118263079200735
final_corrected_production,Final_Backtest_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.48199202766006,-4.717492027660072,4.717492027660072,3.3191733110587682,0.0,5.109691251545215,-4.227242997803643,5.2077410575165,4.74289733626098
final_corrected_production,Final_Backtest_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,183.9055739386411,-4.175373938641121,4.175373938641121,2.3311365570460163,0.0,4.864662404644212,-3.3469691325547615,5.265708925590701,4.224922152761745
