Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,Extreme,11,9,168.47227477777778,159.7404064602322,8.731868317545569,8.731868317545569,5.138820688019844,100.0,14.260571459960937,15.351510620117182,0.0,9.6138355974218
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Medium,15,1,138.00525,146.69586181640625,-8.69061181640626,8.69061181640626,6.297305223102933,0.0,8.69061181640626,-8.69061181640626,8.69061181640626,8.69061181640626
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Low,13,1,254.29495,245.6074676513672,8.687482348632813,8.687482348632813,3.416301561880333,100.0,8.687482348632813,8.687482348632813,0.0,8.687482348632813
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,None,14,4,234.0255,231.79669189453125,2.228808105468751,8.637690917968762,3.5804669519874732,50.0,15.026905529785179,18.62498522949221,6.631386230468763,10.473733716093685
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Extreme,10,3,167.54378599999998,165.51607767740884,2.0277083225911476,8.6178006891276,5.188611976546126,66.66666666666666,9.782367773437494,9.371284667968752,9.88513854980468,8.737983566382924
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,None,15,10,245.6839538,244.02685546875,1.6570983312499947,7.969756210156248,3.4370218135608277,50.0,20.678359178027318,20.655963378906222,20.879921370117188,11.292228367895042
xgb_component,XGB_Pred_MWH,Days8to16,Partly Cloudy,Extreme,11,4,173.248502,180.83756256103516,-7.589060561035154,7.766202943847659,4.451052016691255,25.0,16.31805810302735,0.3542847656250103,18.453977294921884,10.839633133470386
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Extreme,11,2,141.8416205,149.47983932495117,-7.638218824951174,7.638218824951174,5.239909995379082,0.0,9.674463693115236,-5.092912739746097,10.183524910156251,8.051147116108393
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,None,14,3,241.33447733333333,240.0824940999349,1.2519832333984482,7.632053925455732,3.2874476606562624,66.66666666666666,9.243295676953114,7.936054232421867,9.570106038085925,7.823469021546992
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,10,14,164.77815335714286,171.50128718784876,-6.723133830705914,7.472852622558594,4.738767556456755,7.142857142857142,11.329266843164067,5.248031542968761,32.39907521972657,10.757680769005152
xgb_component,XGB_Pred_MWH,Day1,Overcast,Medium,12,3,139.58216666666667,138.53743998209634,1.0447266845703211,7.439635831705725,5.133793166140006,33.33333333333333,11.628660009765628,12.726543774414068,7.2371249511718645,8.561309161229469
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,High,12,1,192.297858,199.72509765625,-7.427239656250009,7.427239656250009,3.862362136269874,0.0,7.427239656250009,-7.427239656250009,7.427239656250009,7.427239656250009
xgb_component,XGB_Pred_MWH,Day1,Overcast,Extreme,10,2,152.216079,159.51068878173828,-7.294609781738281,7.294609781738281,4.612997459207527,0.0,9.509408284472654,-4.526111653320314,10.063107910156248,7.802301824134054
xgb_component,XGB_Pred_MWH,Days2to7,Partly Cloudy,Extreme,13,1,122.848291,130.1212158203125,-7.272924820312497,7.272924820312497,5.9202490821077,0.0,7.272924820312497,-7.272924820312497,7.272924820312497,7.272924820312497
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,High,11,8,172.63187575,170.0943832397461,2.537492510253907,7.235749429199222,3.6874774945279953,25.0,18.974145844921882,20.977328963867194,7.679957437500008,10.535004334322467
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,None,15,2,261.6664125,260.1730194091797,1.4933930908203052,7.167845239257801,2.7097066495197932,50.0,8.362559711914045,8.661238330078106,5.674452148437496,7.321764015431018
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,High,11,133,174.2938467669173,174.7429232489794,-0.44907648206208794,7.072696329424635,4.086626417829069,42.857142857142854,15.137731938671863,18.09174941406249,22.16135607910155,8.747290099790769
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Medium,12,9,196.90393766666668,203.06678941514758,-6.1628517484809,7.048578209852426,3.9761381468429513,11.11111111111111,15.264611392968755,3.985769076171863,18.803244140624997,9.394291313489619
xgb_component,XGB_Pred_MWH,Day1,Overcast,Low,13,1,144.55025,151.51571655273438,-6.9654665527343695,6.9654665527343695,4.818716365232415,0.0,6.9654665527343695,-6.9654665527343695,6.9654665527343695,6.9654665527343695
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,Extreme,11,1,117.621416,124.58259582519531,-6.961179825195316,6.961179825195316,5.918292826193587,0.0,6.961179825195316,-6.961179825195316,6.961179825195316,6.961179825195316
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,Medium,12,1,188.893,195.6835174560547,-6.790517456054687,6.790517456054687,3.5949015877002783,0.0,6.790517456054687,-6.790517456054687,6.790517456054687,6.790517456054687
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Low,13,7,205.6403687142857,204.2667236328125,1.3736450814732157,6.690440307756696,2.9923828821142626,57.14285714285714,16.650823691406252,24.480373339843766,11.431123925781236,10.557595560443023
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,None,14,10,235.2006782,234.53595123291015,0.6647269670898425,6.651918104589845,2.807021421011515,60.0,12.358655800000003,16.595397794921865,11.887906689453132,8.17861902432077
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Extreme,13,2,168.603462,175.0704345703125,-6.4669725703124925,6.569702640624996,3.4192956171450617,50.0,11.74328069687499,0.10273007031250359,13.036675210937489,9.218607650367229
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,Extreme,10,81,161.83480307407407,161.871280623071,-0.0364775489969123,6.288289216579861,3.733776022730938,45.67901234567901,13.787968017578123,37.37832679882811,24.050766064453114,9.030426531174514
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,Extreme,10,148,158.88244159459458,158.96031214739824,-0.07787055280365827,6.285094349566486,3.92974898617862,45.94594594594595,13.00470431416015,21.504207641601568,21.181248884765637,7.84922063987211
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,Extreme,10,8,161.590979875,161.19266319274902,0.39831668225097516,6.207040086791995,3.696714201813591,37.5,13.069910599511728,18.22894634667969,10.858895279296888,8.445548560794458
