Slice,SliceGroup,SliceValue,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,RMSE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Peak_MWH,Forecast_At_Actual_Peak_MWH,Underforecast_At_Actual_Peak_MWH,ForecastColumn,Model,MAE_Improvement_vs_Raw_MWH,Skill_vs_Raw_PCT,Bias_Abs_Improvement_vs_Raw_MWH,MAE_Delta_vs_Final_MWH
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,120.53688663760573,3.5656642200966124,4.794256253262594,6.2119559559531705,3.7414302308107596,84.46475195822454,8.668687745925503,23.81930206017097,21.780025308462683,166.374308,157.52787165561207,8.84643634438794,Targeted_Meta_Adjusted_Forecast_MWH,targeted_residual_meta_adjusted,1.1149858103337342,18.86850798011075,1.5587375398189596,1.0012078950170737
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,124.0442412310705,0.05830962663185376,5.25169974151436,7.969679532235649,4.155987313036365,53.65535248041775,13.469787499999988,36.609300000000005,29.481300000000005,166.374308,162.244475,4.129833000000019,Baseline_SameHourYesterday_MWH,baseline_same_hour_yesterday,0.6575423220819685,11.127354659114985,5.0660921332837185,1.4586513832688395
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,119.09780787164817,5.004742986054187,5.805873987379127,7.27248988974448,4.521107739269178,88.25065274151436,10.243592053594654,26.995507470188713,20.446497103635892,166.374308,155.01133577174494,11.362972228255074,LGB_Pred_MWH,lgb_component,0.10336807621720112,1.749261159125574,0.11965877386138501,2.012825629133607
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,118.97814909778677,5.124401759915572,5.909242063596328,7.347799019625714,4.6103651047194525,88.64229765013056,10.377278475494919,26.43005153789305,20.30262798246696,166.374308,154.9700044697022,11.404303530297824,Raw_Forecast_MWH,raw_xgb_lgb_production,0.0,0.0,0.0,2.116193705350808
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,118.90635383346996,5.196197024232392,5.974202637433325,7.4028873643205975,4.6664427639911485,89.16449086161879,10.801044238769528,26.516468221679673,20.216306509765616,166.374308,154.94520568847656,11.429102311523451,XGB_Pred_MWH,xgb_component,-0.06496057383699672,-1.0993046678047593,-0.07179526431681982,2.1811542791878047
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,123.79679133177919,0.305759525923163,6.501515724356583,8.646373802574194,5.103139131409605,57.44125326370757,15.45840592857143,22.45367457142855,26.504340142857146,166.374308,165.7310317142857,0.6432762857143075,Baseline_Rolling7DaySameHourAvg_MWH,baseline_rolling_7day_same_hour_avg,-0.592273660760255,-10.022836336472581,4.818642233992409,2.708467366111063
OriginSeason:Fall,Replay_Origin_Season,Fall,766,124.10255085770234,123.47980554308093,0.6227453146214103,9.339480084856397,12.863152919159711,7.353870722296713,54.699738903394255,20.3496295,42.43152499999999,59.576267,166.374308,151.760791,14.613517000000002,Baseline_SameHour7DaysAgo_MWH,baseline_same_hour_7_days_ago,-3.4302380212600694,-58.048697012971026,4.501656445294162,5.546431726610877
OriginSeason:Spring,Replay_Origin_Season,Spring,768,127.912764109375,128.00573430069497,-0.09297019131996172,3.980452403146566,5.483956998757703,3.0390909881870525,55.078125,9.47695641345153,18.469816477481032,17.90267384173015,251.088633,242.12313589248726,8.965497107512732,Final_Backtest_Forecast_MWH,final_corrected_production,1.511201419034744,27.51814786523612,3.6384805671830383,0.0
OriginSeason:Spring,Replay_Origin_Season,Spring,768,127.912764109375,128.00573430069497,-0.09297019131996172,3.980452403146566,5.483956998757703,3.0390909881870525,55.078125,9.47695641345153,18.469816477481032,17.90267384173015,251.088633,242.12313589248726,8.965497107512732,Recent_Corrected_Forecast_MWH,recent_corrected_simulation,1.511201419034744,27.51814786523612,3.6384805671830383,0.0
OriginSeason:Spring,Replay_Origin_Season,Spring,768,127.912764109375,127.67898302280587,0.2337810865691393,4.0387698983350235,5.4953140731014045,3.0835205648368875,59.505208333333336,9.47822406644507,18.754794408033035,17.594771063376783,251.088633,241.76905003821724,9.319582961782743,Cloud_Solar_Adjusted_Forecast_MWH,cloud_solar_adjusted,1.4528839238462865,26.456218306732133,3.4976696719338607,0.058317495188457524
